id,cuisine
35543,italian
35549,mexican
35238,french
48300,indian
11546,italian
19398,mexican
19395,chinese
5987,southern_us
22261,japanese
36605,indian
22264,italian
48891,southern_us
48894,french
43879,mexican
36600,french
43875,chinese
43874,mexican
43877,french
43871,indian
43872,british
27372,mexican
27373,thai
6792,cajun_creole
6791,indian
46137,mexican
46132,french
32509,chinese
21090,southern_us
25289,mexican
25287,indian
25281,indian
16252,mexican
16250,mexican
16708,moroccan
19975,mexican
32014,japanese
278,southern_us
19979,french
16258,italian
22485,chinese
22487,mexican
12018,mexican
12014,mexican
22489,southern_us
26391,southern_us
26392,thai
17253,chinese
17254,italian
17256,mexican
10709,mexican
9529,italian
9258,italian
10703,korean
9257,mexican
24883,indian
24882,italian
24881,italian
24880,italian
24887,french
21618,mexican
24885,southern_us
46794,mexican
49561,southern_us
21612,mexican
45118,southern_us
45447,italian
45445,italian
45117,southern_us
44791,jamaican
44794,southern_us
44796,mexican
42838,italian
22877,chinese
22873,southern_us
24087,mexican
49304,mexican
37791,brazilian
31677,french
3514,italian
36846,mexican
36847,mexican
2688,mexican
2684,greek
2685,mexican
2680,irish
14626,indian
38646,chinese
30410,italian
15363,japanese
14681,italian
13053,italian
13050,italian
13051,mexican
13057,italian
36159,moroccan
18700,chinese
33855,southern_us
33856,filipino
18704,italian
41564,greek
41563,japanese
41562,southern_us
27860,mexican
18035,italian
27573,italian
29381,italian
44424,thai
44422,french
40961,cajun_creole
29764,mexican
49711,british
29813,italian
29760,mexican
29811,italian
29386,indian
1177,greek
1173,indian
23507,chinese
23054,jamaican
47216,mexican
23501,mexican
27618,mexican
39594,southern_us
39591,italian
29431,mexican
39599,french
1002,italian
31230,southern_us
29433,italian
29100,indian
7182,mexican
7184,greek
3434,mexican
34558,chinese
12836,indian
15287,italian
8014,italian
8011,southern_us
8010,mexican
7457,chinese
26627,russian
7452,russian
26620,mexican
26628,mexican
49391,mexican
35933,italian
35932,italian
35936,chinese
2031,cajun_creole
2746,mexican
28381,chinese
10882,italian
28383,chinese
22670,spanish
28877,thai
27377,italian
26562,spanish
24708,italian
24709,japanese
6136,brazilian
21471,southern_us
392,french
391,italian
43462,greek
2308,italian
28189,greek
4727,italian
4721,southern_us
13611,greek
19704,italian
11288,southern_us
5844,french
5843,southern_us
16069,mexican
17620,italian
17627,cajun_creole
3742,italian
3743,korean
3741,mexican
22369,thai
13533,mexican
4623,italian
13537,indian
13536,italian
28873,italian
14538,greek
41826,indian
11756,chinese
11751,italian
28708,italian
19562,french
16396,korean
16397,indian
28870,indian
28258,southern_us
20732,chinese
20735,thai
20881,mexican
20736,vietnamese
20889,southern_us
11011,italian
25544,southern_us
13289,italian
13288,southern_us
173,chinese
172,filipino
13281,mexican
36302,british
36307,jamaican
46300,british
46301,southern_us
46302,indian
46303,italian
42339,italian
49174,southern_us
21939,italian
46658,italian
42336,mexican
42330,chinese
42332,french
45653,italian
45656,moroccan
45879,italian
41356,italian
45875,french
45874,chinese
20082,mexican
48223,irish
48550,french
10393,mexican
10396,cajun_creole
10399,chinese
30788,italian
44659,indian
16933,vietnamese
7211,southern_us
7216,southern_us
17884,southern_us
6217,mexican
6213,moroccan
6212,italian
42153,french
16256,mexican
15709,southern_us
23423,mexican
32015,southern_us
15879,italian
6811,southern_us
6810,thai
15702,thai
41177,french
15707,italian
29376,southern_us
29374,mexican
10572,mexican
9758,mexican
37305,chinese
37307,mexican
18932,mexican
24141,japanese
37308,mexican
18939,greek
8842,cajun_creole
8844,irish
8845,italian
8846,moroccan
30628,cajun_creole
33759,italian
30621,italian
30626,italian
30625,korean
40080,southern_us
26814,thai
24865,indian
26813,brazilian
40086,mexican
28878,greek
37169,italian
18537,mexican
1766,mexican
40225,korean
11191,indian
40227,mexican
40554,french
40550,mexican
40229,mexican
29599,italian
18313,italian
21537,southern_us
14479,japanese
16381,jamaican
1544,indian
47681,southern_us
694,french
1541,mexican
28425,italian
28356,southern_us
47688,chinese
11112,mexican
14474,indian
8710,italian
30594,mexican
34305,indian
8472,italian
13841,filipino
31577,italian
30597,italian
13845,southern_us
30590,italian
19035,moroccan
38366,italian
5612,filipino
38369,french
38368,chinese
48741,southern_us
35214,chinese
11569,cajun_creole
23264,spanish
23265,southern_us
47022,indian
11560,italian
11563,filipino
11565,southern_us
11566,greek
23269,chinese
24586,irish
19195,japanese
22243,italian
31874,moroccan
25736,chinese
25043,indian
25732,irish
25730,cajun_creole
25731,southern_us
46793,french
27396,italian
27394,southern_us
6770,french
39016,mexican
39013,indian
9968,thai
9969,italian
39018,southern_us
39019,chinese
27412,southern_us
20374,indian
19918,southern_us
253,japanese
256,italian
257,italian
19917,japanese
16236,mexican
21611,japanese
23757,japanese
12035,french
12034,chinese
29348,japanese
40004,italian
9500,chinese
9506,italian
49099,italian
49548,southern_us
21637,southern_us
1676,french
21635,indian
45464,italian
15025,italian
45461,italian
45463,italian
43145,italian
43147,indian
43142,mexican
26041,thai
23833,mexican
26042,british
2510,italian
2511,chinese
23832,japanese
46515,mexican
46514,mexican
46844,mexican
46511,italian
46510,italian
46841,french
3533,southern_us
3532,italian
5059,indian
3537,mexican
5056,mexican
5057,mexican
5051,italian
5053,southern_us
38569,mexican
38568,southern_us
45795,french
45798,mexican
15308,italian
21925,italian
36822,indian
36791,thai
36820,spanish
36795,french
10767,japanese
10768,mexican
36829,thai
14866,brazilian
14867,japanese
14640,italian
18897,italian
14647,mexican
14644,mexican
14861,italian
18545,british
18898,italian
18540,italian
18543,chinese
14869,indian
38620,southern_us
38621,chinese
38625,southern_us
30045,chinese
13072,russian
45113,mexican
13077,italian
26459,korean
44220,italian
45843,italian
18761,french
18762,mexican
33522,mexican
33523,chinese
48056,italian
27553,italian
20275,indian
48051,mexican
48058,brazilian
38197,southern_us
10185,chinese
10181,mexican
10180,mexican
29996,italian
40945,southern_us
40946,italian
29740,japanese
29745,italian
23079,southern_us
1158,cajun_creole
47230,chinese
47237,mexican
1150,french
47234,filipino
30296,indian
30294,greek
44244,southern_us
15113,indian
15112,mexican
29127,french
29125,filipino
39579,cajun_creole
39578,japanese
39574,southern_us
39577,italian
39576,mexican
39570,italian
39573,greek
31748,moroccan
31745,mexican
8034,french
8030,mexican
12859,thai
12589,jamaican
12588,southern_us
34532,italian
12581,mexican
34531,mexican
34536,italian
12854,mexican
12857,italian
35914,italian
44916,italian
35911,southern_us
35910,italian
26608,japanese
35918,mexican
22656,french
22651,moroccan
22653,italian
22659,southern_us
26546,italian
49513,french
26543,japanese
22382,italian
22383,british
22380,indian
22381,southern_us
22385,italian
4294,southern_us
13980,italian
4293,mexican
23382,italian
23386,italian
23388,british
28658,italian
24765,french
22031,southern_us
22035,italian
22037,british
35665,japanese
35667,indian
35662,chinese
4743,southern_us
13673,japanese
43333,cajun_creole
13674,mexican
31965,greek
32241,italian
5868,cajun_creole
16005,italian
32249,french
5861,italian
17358,mexican
17354,indian
17605,indian
17604,japanese
17602,thai
17600,mexican
25387,thai
25386,chinese
2187,italian
2185,chinese
2184,indian
13514,southern_us
13511,french
25388,italian
12420,mexican
23920,italian
15437,mexican
6453,mexican
18345,italian
31834,chinese
12423,spanish
27233,indian
19585,french
27239,southern_us
5721,italian
19581,italian
31837,italian
6457,italian
20860,italian
20862,chinese
36361,greek
48830,mexican
25560,mexican
36367,chinese
36366,italian
25569,chinese
25505,french
27065,vietnamese
46679,french
42319,italian
42313,mexican
42311,mexican
42310,italian
41691,mexican
49157,vietnamese
45329,mexican
2721,southern_us
45631,moroccan
41165,mexican
45321,mexican
45632,italian
2728,italian
7237,mexican
7946,italian
10375,spanish
7949,indian
7239,mexican
42172,indian
16916,southern_us
16911,mexican
16912,mexican
31939,filipino
29362,cajun_creole
6235,mexican
6237,greek
36585,italian
36584,italian
36589,italian
36588,french
29368,italian
10510,chinese
9771,irish
10514,italian
18953,southern_us
14983,mexican
14985,italian
8863,mexican
18954,italian
37365,mexican
14989,italian
24167,british
24160,mexican
21401,southern_us
8869,mexican
811,french
813,italian
41379,mexican
817,italian
26835,southern_us
26837,chinese
26832,chinese
21436,italian
7818,mexican
31066,mexican
19517,british
14189,indian
5266,italian
5265,italian
5264,indian
5261,japanese
37189,vietnamese
14183,cajun_creole
14185,mexican
5268,indian
15855,chinese
15859,italian
16379,mexican
35610,italian
32124,french
33955,vietnamese
11136,mexican
11134,mexican
14321,mexican
33950,italian
33953,southern_us
21089,french
14329,french
18378,chinese
24570,mexican
3029,southern_us
17988,mexican
3026,indian
28401,french
3024,french
28407,mexican
3020,chinese
30352,french
19443,italian
30350,southern_us
34980,italian
19812,french
8738,italian
34328,chinese
34326,italian
8734,italian
15589,greek
34323,french
34322,italian
8731,italian
31550,jamaican
24569,mexican
35057,french
31007,spanish
4193,chinese
4190,southern_us
35051,southern_us
5670,moroccan
5676,mexican
38385,southern_us
38381,mexican
38383,southern_us
38382,filipino
34189,mexican
34186,jamaican
18012,southern_us
34741,mexican
23249,thai
23716,italian
47007,moroccan
47001,italian
47002,chinese
33503,chinese
8192,greek
12447,cajun_creole
15324,italian
15325,chinese
33500,italian
12440,italian
30971,french
48854,russian
27005,italian
48853,mexican
27000,cajun_creole
6438,chinese
39387,french
39380,southern_us
30322,italian
30471,mexican
39388,korean
32583,mexican
30636,chinese
32585,korean
35292,french
6752,korean
6750,cajun_creole
19048,southern_us
21519,italian
9943,british
39038,italian
35581,cajun_creole
39036,chinese
35589,indian
16217,mexican
32724,japanese
19247,chinese
16213,italian
19931,jamaican
19242,indian
19249,southern_us
32728,korean
12053,japanese
12057,italian
12059,italian
235,mexican
236,indian
42784,mexican
27926,french
43787,chinese
43786,mexican
43785,chinese
43783,italian
25711,mexican
43836,italian
21875,chinese
21876,southern_us
21656,italian
48859,chinese
21658,indian
21879,mexican
26067,mexican
26066,italian
26064,italian
30969,italian
45404,italian
45405,spanish
45409,mexican
26068,mexican
2539,italian
2532,french
46530,italian
46537,jamaican
46536,japanese
33577,southern_us
38546,southern_us
38817,spanish
5079,southern_us
38541,southern_us
38540,southern_us
5072,french
5076,korean
22836,mexican
38548,greek
9561,italian
939,chinese
9565,italian
10749,indian
36779,chinese
10745,southern_us
10744,mexican
36772,indian
10740,southern_us
25896,japanese
14669,french
18569,italian
33728,chinese
33729,southern_us
18562,french
11834,mexican
33725,french
33722,indian
33720,indian
38608,french
38609,chinese
38604,mexican
29766,italian
10067,mexican
29812,french
44755,southern_us
41901,italian
44757,filipino
36111,cajun_creole
44751,irish
44202,italian
36114,chinese
33544,mexican
33545,southern_us
19655,british
48079,cajun_creole
48074,southern_us
20297,chinese
48076,chinese
27827,southern_us
41525,mexican
20318,chinese
41527,indian
797,thai
795,french
29722,indian
29725,mexican
29727,italian
40922,vietnamese
40920,french
1139,italian
1132,italian
1130,italian
1135,southern_us
2419,chinese
26338,southern_us
15134,mexican
26992,vietnamese
31767,greek
7148,chinese
48554,mexican
26998,mexican
39557,japanese
7141,southern_us
18746,italian
2149,cajun_creole
37642,mexican
37649,japanese
